Sample,Basler acA2440-20gc (23630914)_timestamp_ns,Basler acA2440-20gc (23630914)_offset_ns,210200799_timestamp_ns,210200799_offset_ns,Basler acA2440-20gc (23630913)_timestamp_ns,Basler acA2440-20gc (23630913)_offset_ns
0,8713527078204,90,8713531753448,199,8713538996514,0
1,8716543271116,382,8716550176192,123,8716557582978,0
2,8719561671036,662,8719566733760,215,8719574220658,0
3,8722578419500,38,8722584900760,190,8722592396242,0
4,8725596337100,722,8725601277464,37,8725608568466,0
5,8728612522956,290,8728617137840,41,8728624291906,0
6,8731628395004,354,8731635252592,150,8731642569570,0
7,8734646593020,502,8734651544784,84,8734658966354,0
8,8737662807404,558,8737668512520,71,8737675925394,0
9,8740680268124,334,8740687461664,73,8740695811122,0
10,8743699746700,734,8743704409944,215,8743711597762,0
11,8746715813516,466,8746723112840,35,8746730407810,0
12,8749734666188,138,8749741096824,138,8749748492674,0
13,8752752566732,230,8752759077544,40,8752766394498,0
14,8755770953852,70,8755777235520,53,8755784554962,0
15,8758788745196,242,8758795050904,70,8758802397346,0
16,8761806863340,298,8761813420824,95,8761820873154,0
17,8764824926588,54,8764830009952,34,8764837326194,0
18,8767841384092,322,8767846508784,165,8767855081058,0
19,8770859249324,110,8770864056744,58,8770871464418,0
20,8773876072716,26,8773883191656,251,8773890695666,0
21,8776895516764,182,8776901494304,56,8776908790850,0
22,8779913260476,142,8779920222640,134,8779927653794,0
23,8782931859148,74,8782938584048,55,8782946354242,0
24,8785950689580,310,8785957536504,70,8785965252946,0
25,8788969472204,378,8788975615080,29,8788982846930,0
26,8791987808748,474,8791993799128,131,8792001104034,0
27,8795005315564,34,8795010845160,144,8795018222818,0
28,8798022159884,414,8798026933216,162,8798034266018,0
29,8801038065164,270,8801042810176,202,8801050327458,0
