Sample,Basler acA2440-20gc (23630914)_timestamp_ns,Basler acA2440-20gc (23630914)_offset_ns,210200799_timestamp_ns,210200799_offset_ns,Basler acA2440-20gc (23630913)_timestamp_ns,Basler acA2440-20gc (23630913)_offset_ns
0,2162047095284,220,2162052351328,230,2162059572288,0
1,2165063965428,76,2165070857128,0,2165078120784,0
2,2168082097572,476,2168087049032,354,2168094435376,0
3,2171098959908,100,2171106058264,384,2171114381376,0
4,2174118473764,292,2174123503712,10,2174131263008,0
5,2177135260852,284,2177140494472,266,2177147924240,0
6,2180152196756,140,2180157644048,15,2180165103312,0
7,2183169189780,812,2183174219488,79,2183181939040,0
8,2186186863636,324,2186191911672,95,2186199462112,0
9,2189203719028,380,2189209778712,99,2189218546864,0
10,2192222949060,436,2192228930600,62,2192236290832,0
11,2195241182724,108,2195246299512,32,2195254450080,0
12,2198258565780,228,2198263482696,189,2198270753888,0
13,2201274878180,188,2201279868576,22,2201287465392,0
14,2204292837076,172,2204299905408,27,2204307347744,0
15,2207311528852,84,2207318433184,80,2207326036672,0
16,2210330107012,148,2210335307352,76,2210343032256,0
17,2213347085092,204,2213352021072,134,2213359479696,0
18,2216363594404,12,2216369768976,62,2216377211280,0
19,2219381320404,620,2219386050336,87,2219393521584,0
