Sample,Basler acA2440-20gc (23630914)_timestamp_ns,Basler acA2440-20gc (23630914)_offset_ns,210200799_timestamp_ns,210200799_offset_ns
0,3702809551186,0,3702814421104,107
1,3705822200386,0,3705828804744,180
2,3708836714770,0,3708843386976,22
3,3711851218850,0,3711857951416,116
4,3714865821714,0,3714872841056,179
5,3717880646578,0,3717887439912,25
6,3720894938978,0,3720900504824,86
7,3723908406818,0,3723914821776,45
8,3726922681458,0,3726929499080,67
9,3729937246578,0,3729944022616,82
10,3732951733362,0,3732958815664,93
11,3735966697042,0,3735973603616,17
12,3738981515362,0,3738987980040,203
13,3741995775922,0,3742003043312,51
14,3745010970722,0,3745017843664,197
15,3748025326322,0,3748030092536,29
16,3751037906978,0,3751044310136,88
17,3754052176178,0,3754058783920,13
18,3757066484738,0,3757073038440,122
19,3760080691874,0,3760087411120,33
