Sample,Basler acA2440-20gc (23630914)_timestamp_ns,Basler acA2440-20gc (23630914)_offset_ns,Basler acA2440-20gc (23630913)_timestamp_ns,Basler acA2440-20gc (23630913)_offset_ns,210200799_timestamp_ns,210200799_offset_ns
0,3277482885612,978,3277486607234,0,49891495448,129
1,3280499797692,506,3280504277586,0,52909393496,118
2,3283516940428,262,3283520990498,0,55925908056,525
3,3286533617052,114,3286537895650,0,58943524352,41
4,3289551676700,354,3289555690706,0,61960988736,141
5,3292569240700,2,3292573247138,0,64978632144,25
6,3295586202652,414,3295590675490,0,67996223648,20
7,3298604525420,266,3298608843186,0,71013764816,58
8,3301621847004,110,3301626300738,0,74032249144,38
9,3304640004588,118,3304644103890,0,77050207296,57
10,3307657726876,54,3307662091762,0,80067942464,46
11,3310675454748,370,3310681230898,0,83086124400,30
12,3313693591292,30,3313698700850,0,86104251528,39
13,3316711728652,50,3316716542386,0,89121545488,115
14,3319728937436,390,3319733877378,0,92139019456,196
15,3322747753708,358,3322752475410,0,95158049704,10
16,3325766425948,306,3325770705746,0,98175547432,183
17,3328783978380,206,3328788215698,0,101193045496,79
18,3331801095532,454,3331805147810,0,104210766168,208
19,3334819482172,22,3334823408402,0,107228270624,155
