Sample,210200799_timestamp_ns,210200799_offset_ns,Basler acA2440-20gc (23630914)_timestamp_ns,Basler acA2440-20gc (23630914)_offset_ns
0,202524310464,11977,202531572386,0
1,205536580592,6076,205543945922,0
2,208548934424,3562,208556103490,0
3,211560980008,2327,211569314098,0
4,214574217832,1774,214581876674,0
5,217587112152,1079,217594323186,0
6,220600509016,665,220607865378,0
7,223613516136,76,223620894098,0
8,226626153320,396,226633912034,0
9,229639030696,258,229646445042,0
10,232651664984,102,232658985666,0
11,235663934184,221,235671546786,0
12,238676916848,231,238684460578,0
13,241689290816,128,241696539602,0
14,244701576568,51,244709017122,0
15,247713813872,9,247721315858,0
16,250726204072,161,250733446786,0
17,253738483608,27,253745806626,0
18,256750848704,27,256758302626,0
19,259763262296,42,259770573938,0
20,262775544336,110,262783426402,0
21,265788435128,121,265797582386,0
22,268802539016,87,268810960786,0
23,271815981840,186,271823414754,0
24,274828400720,116,274835830898,0
25,277840687120,13,277848575458,0
