Sample,Basler acA2440-20gc (23630913)_timestamp_ns,Basler acA2440-20gc (23630913)_offset_ns,Basler acA2440-20gc (23630914)_timestamp_ns,Basler acA2440-20gc (23630914)_offset_ns,210200799_timestamp_ns,210200799_offset_ns
0,235780053850,0,468254446818,0,235788612824,15651
1,238796091882,0,238799978698,96648,238804709248,14197
2,241812251514,0,241816137946,24712,241820817688,8006
3,244828306298,0,244832414394,2144,244837753064,4278
4,247845399082,0,247849584074,280,247854512304,2712
5,250862853098,0,250868430890,600,250873293624,1956
6,253881132714,0,253887372250,168,253892209984,1134
7,256899795866,0,256904811770,744,256910376664,723
8,259918065834,0,259924475722,376,259929687016,531
9,262937557338,0,262943661418,576,262948439984,78
10,265956168074,0,265960410890,224,265965260624,224
11,268972905626,0,268977290906,96,268982089584,205
12,271989530890,0,271993438602,56,271998148016,80
13,275006073530,0,275010726618,112,275015541440,101
14,278022990346,0,278026874922,312,278031582064,106
15,281039100538,0,281043238394,80,281048053640,21
16,284055758746,0,284059943306,96,284064733080,79
17,287072295530,0,287076513082,0,287081690232,19
18,290089552090,0,290095489370,256,290100339880,115
19,293108223546,0,293113628378,696,293118555536,174
20,296126401418,0,296132340154,320,296137367744,62
21,299145093370,0,299149131418,192,299153973272,56
22,302161406090,0,302165497082,584,302170296136,149
23,305178059066,0,305181949882,616,305186672232,88
24,308194207738,0,308198274058,56,308203013840,19
25,311210940666,0,311216552378,64,311221303832,100
26,314229057594,0,314234622362,456,314239739288,134
