Sample,Basler acA2440-20gc (23630914)_timestamp_ns,Basler acA2440-20gc (23630914)_offset_ns,Basler acA2440-20gc (23630913)_timestamp_ns,Basler acA2440-20gc (23630913)_offset_ns,210200799_timestamp_ns,210200799_offset_ns
0,6383716892588,222,6383720711090,0,6383725357664,6
1,6386732919244,126,6386737002962,0,6386741576096,30
2,6389749295516,482,6389755300834,0,6389760432704,57
3,6392768789260,138,6392772958306,0,6392778345656,92
4,6395786801644,338,6395792803282,0,6395797460144,143
5,6398805218876,222,6398809432114,0,6398814533168,163
6,6401822112076,534,6401826114866,0,6401830938240,158
7,6404839810828,182,6404843653538,0,6404848615832,13
8,6407856031948,234,6407860890834,0,6407865939576,109
9,6410873493820,34,6410877289026,0,6410881890448,123
10,6413889534764,198,6413894802898,0,6413899432488,108
11,6416907348332,38,6416913206114,0,6416918683024,124
12,6419926401420,650,6419932563506,0,6419937898512,13
13,6422946560716,778,6422952518626,0,6422957123656,11
14,6425965188284,14,6425970794898,0,6425975686552,45
15,6428983392876,514,6428987851890,0,6428992491808,88
16,6432000118428,462,6432005927906,0,6432010596568,7
17,6435019817276,254,6435025881922,0,6435031593848,235
18,6438039436732,142,6438045061122,0,6438049700304,48
19,6441057317356,298,6441062066274,0,6441067133920,72
