Sample,Basler acA2440-20gc (23630914)_timestamp_ns,Basler acA2440-20gc (23630914)_offset_ns,Basler acA2440-20gc (23630913)_timestamp_ns,Basler acA2440-20gc (23630913)_offset_ns,210200799_timestamp_ns,210200799_offset_ns
0,7470762621164,10,7470766892322,0,7470771500528,102
1,7473779247676,142,7473785003730,0,7473789586728,58
2,7476797371612,322,7476803477442,0,7476808090136,18
3,7479815869564,46,7479821966290,0,7479826739280,181
4,7482834483468,162,7482840685122,0,7482845564776,10
5,7485852932444,70,7485856683490,0,7485861237864,145
6,7488870157468,230,7488875244162,0,7488880450400,42
7,7491888341740,78,7491894354514,0,7491899522520,128
8,7494907088444,346,7494910820562,0,7494915551728,5
9,7497923201676,42,7497928646834,0,7497933339600,76
10,7500941139948,126,7500947287346,0,7500951973048,4
11,7503959468828,394,7503963693938,0,7503968369232,45
12,7506975768556,670,7506979654546,0,7506984439024,43
13,7509991986700,254,7509995753858,0,7510000379696,42
14,7513007718908,126,7513011670146,0,7513016388832,39
15,7516023722652,50,7516027528674,0,7516032167416,21
16,7519040197244,42,7519046056370,0,7519050736192,45
17,7522058419788,402,7522062166498,0,7522066828624,182
18,7525074544188,10,7525080020850,0,7525084754704,11
19,7528092493452,30,7528098080386,0,7528102801720,110
