Sample,Basler acA2440-20gc (23630914)_timestamp_ns,Basler acA2440-20gc (23630914)_offset_ns,210200799_timestamp_ns,210200799_offset_ns,Basler acA2440-20gc (23630913)_timestamp_ns,Basler acA2440-20gc (23630913)_offset_ns
0,7662662031948,250,7662666680616,232,7662673750578,0
1,7665678317692,6,7665684266456,38,7665691567618,0
2,7668696781420,146,7668701638672,137,7668709273954,0
3,7671713546108,350,7671719069824,79,7671726458674,0
4,7674730670524,818,7674737013176,79,7674744390770,0
5,7677748679212,38,7677755374672,54,7677762760770,0
6,7680767093308,406,7680773894432,126,7680781101570,0
7,7683785357420,162,7683791807160,133,7683799092530,0
8,7686803146028,58,7686808691840,79,7686815888466,0
9,7689819884108,306,7689824857048,53,7689832068706,0
10,7692836011628,354,7692841151288,16,7692848806322,0
11,7695852854796,694,7695858128280,36,7695865257218,0
12,7698869461372,38,7698874114920,108,7698881370498,0
13,7701885374556,46,7701891421936,71,7701898755538,0
14,7704903074220,722,7704909831256,35,7704917076978,0
15,7707921040428,206,7707928007104,7,7707935358978,0
16,7710939981708,166,7710946658056,62,7710953858018,0
17,7713958061084,438,7713964917392,125,7713972201538,0
18,7716976586956,206,7716982677656,115,7716990137362,0
19,7719995364396,138,7720002262576,23,7720009662402,0
